1640875500000,47249.23000000,47323.91000000,47249.22000000,47253.92000000,25.68428000,1640875559999,1214790.94244900,770,9.81023000,463941.28480170,0
1640875560000,47253.92000000,47316.91000000,47253.92000000,47314.94000000,27.86457000,1640875619999,1317953.31504360,711,10.46022000,494700.39837410,0
1640875620000,47314.94000000,47329.38000000,47290.93000000,47290.94000000,16.58169000,1640875679999,784682.60522690,558,7.15825000,338738.98794900,0
1640875680000,47290.93000000,47306.91000000,47260.14000000,47306.37000000,22.49845000,1640875739999,1063868.99594210,521,7.83690000,370570.41484180,0
1640875740000,47306.36000000,47306.37000000,47226.16000000,47249.56000000,15.49411000,1640875799999,732411.71058120,598,2.35505000,111271.16091080,0
1640875800000,47249.56000000,47266.29000000,47231.92000000,47237.39000000,9.56786000,1640875859999,452082.78422450,429,5.02864000,237583.05978080,0
1640875860000,47237.38000000,47273.22000000,47237.38000000,47273.22000000,15.41860000,1640875919999,728493.03686400,477,12.29020000,580669.41436700,0
1640875920000,47273.22000000,47290.03000000,47261.94000000,47268.55000000,15.66773000,1640875979999,740753.41775890,487,6.44080000,304502.17150740,0
1640875980000,47268.54000000,47303.46000000,47268.54000000,47283.54000000,15.18070000,1640876039999,717802.45899120,557,9.74237000,460628.13634930,0
1640876040000,47283.53000000,47297.60000000,47278.59000000,47288.00000000,12.41632000,1640876099999,587122.65127740,463,6.43286000,304179.87162630,0
1640876100000,47288.00000000,47316.71000000,47270.00000000,47308.52000000,16.65742000,1640876159999,787894.54291270,564,11.26232000,532690.07799650,0
1640876160000,47308.51000000,47340.36000000,47305.16000000,47340.34000000,16.89229000,1640876219999,799295.14503710,580,9.38939000,444253.24911640,0
1640876220000,47340.34000000,47353.29000000,47323.57000000,47331.92000000,16.04102000,1640876279999,759364.75220000,574,9.75215000,461637.07638220,0
1640876280000,47331.93000000,47349.99000000,47314.18000000,47340.01000000,9.79654000,1640876339999,463729.05267840,504,5.07985000,240466.83603020,0
1640876340000,47340.02000000,47353.00000000,47331.80000000,47345.03000000,21.15040000,1640876399999,1001303.23507670,485,12.68493000,600523.25314850,0
1640876400000,47345.02000000,47383.81000000,47340.01000000,47383.78000000,11.65839000,1640876459999,552113.78224370,472,6.20788000,293990.39136070,0
1640876460000,47383.78000000,47383.96000000,47342.63000000,47352.77000000,21.04020000,1640876519999,996347.43848630,637,10.33943000,489588.98337850,0
1640876520000,47352.78000000,47352.78000000,47340.01000000,47349.99000000,18.09797000,1640876579999,856876.35874440,601,8.98377000,425329.90886870,0
1640876580000,47349.99000000,47376.86000000,47349.99000000,47360.97000000,11.43107000,1640876639999,541393.79340380,704,8.09444000,383348.86189450,0
1640876640000,47360.96000000,47362.74000000,47312.32000000,47312.92000000,17.38348000,1640876699999,822923.21209990,637,4.05318000,191853.50756040,0
1640876700000,47312.92000000,47350.05000000,47300.00000000,47342.99000000,20.69049000,1640876759999,979208.44867010,534,12.59414000,596050.69004850,0
1640876760000,47342.99000000,47350.06000000,47320.62000000,47340.80000000,12.44519000,1640876819999,589151.28097970,614,6.04153000,285982.17913310,0
1640876820000,47340.81000000,47411.00000000,47340.80000000,47395.69000000,38.70620000,1640876879999,1834073.67580670,922,30.48748000,1444565.34564820,0
1640876880000,47395.68000000,47410.85000000,47395.68000000,47410.85000000,16.39881000,1640876939999,777385.17671270,540,10.09192000,478408.97772110,0
1640876940000,47410.84000000,47460.70000000,47400.01000000,47431.05000000,39.44859000,1640876999999,1871150.53119330,874,15.00991000,711766.32944070,0
1640877000000,47431.05000000,47431.49000000,47400.00000000,47406.00000000,21.31404000,1640877059999,1010719.53235910,491,10.26291000,486648.22997100,0
1640877060000,47406.00000000,47414.98000000,47394.18000000,47405.23000000,9.64618000,1640877119999,457274.18845060,512,6.02114000,285429.61743170,0
1640877120000,47405.24000000,47405.24000000,47388.06000000,47395.54000000,6.32315000,1640877179999,299674.99148560,383,5.24479000,248566.70274550,0
1640877180000,47395.55000000,47403.36000000,47384.29000000,47385.65000000,9.89887000,1640877239999,469124.05146420,452,5.85852000,277635.44312140,0
1640877240000,47385.65000000,47419.29000000,47384.29000000,47415.72000000,18.97175000,1640877299999,899283.13069990,532,12.08814000,572965.93311010,0
1640877300000,47415.72000000,47421.28000000,47376.51000000,47408.83000000,18.93796000,1640877359999,897777.37522760,551,9.82269000,465660.44439290,0
1640877360000,47408.83000000,47459.23000000,47408.83000000,47457.46000000,17.08326000,1640877419999,810318.48906710,559,11.78271000,558840.63386240,0
1640877420000,47457.45000000,47457.46000000,47450.00000000,47456.85000000,11.65670000,1640877479999,553164.79714210,481,4.01106000,190346.54150380,0
1640877480000,47456.86000000,47489.17000000,47439.08000000,47474.40000000,16.66734000,1640877539999,791066.70021450,644,7.33867000,348298.60791100,0
1640877540000,47474.41000000,47500.00000000,47474.37000000,47489.67000000,50.54867000,1640877599999,2400602.90065390,859,26.49342000,1258210.68175230,0
1640877600000,47489.67000000,47489.68000000,47475.61000000,47475.62000000,8.76160000,1640877659999,415995.69834740,457,3.10813000,147562.76450060,0
1640877660000,47475.61000000,47475.62000000,47420.30000000,47462.87000000,15.13011000,1640877719999,717896.51636790,644,6.28245000,298025.72400100,0
1640877720000,47462.87000000,47462.88000000,47426.68000000,47432.23000000,6.46219000,1640877779999,306616.89591120,413,2.80574000,133118.13722610,0
1640877780000,47432.23000000,47452.41000000,47416.71000000,47418.70000000,17.77155000,1640877839999,843031.86148200,487,8.43098000,399953.79214630,0
1640877840000,47418.70000000,47430.32000000,47346.96000000,47383.89000000,28.62706000,1640877899999,1356593.18297550,802,8.23316000,390121.20732370,0
1640877900000,47383.89000000,47394.33000000,47366.47000000,47387.05000000,10.26947000,1640877959999,486539.69493630,428,5.04593000,239062.63626590,0
1640877960000,47387.04000000,47410.00000000,47355.37000000,47360.64000000,32.79324000,1640878019999,1553491.75978120,680,15.82270000,749549.19460890,0
1640878020000,47360.63000000,47383.94000000,47357.82000000,47383.94000000,10.66203000,1640878079999,505076.77880630,434,6.55051000,310301.35475850,0
1640878080000,47383.94000000,47395.63000000,47357.13000000,47357.17000000,9.85998000,1640878139999,467085.31796830,374,3.78413000,179265.52183550,0
1640878140000,47357.17000000,47380.64000000,47355.37000000,47356.86000000,9.56001000,1640878199999,452768.98201690,357,7.38951000,349967.69655020,0
1640878200000,47356.85000000,47357.16000000,47315.42000000,47315.42000000,12.00536000,1640878259999,568411.16785040,580,2.65833000,125862.42103230,0
1640878260000,47315.42000000,47345.57000000,47310.47000000,47330.30000000,23.11946000,1640878319999,1094216.33851250,554,14.54840000,688557.22100520,0
1640878320000,47330.30000000,47341.13000000,47310.96000000,47339.21000000,12.98987000,1640878379999,614769.68439370,478,8.69108000,411303.11660570,0
1640878380000,47338.05000000,47341.12000000,47312.44000000,47314.56000000,5.55995000,1640878439999,263120.41263760,385,1.40773000,66613.16427460,0
1640878440000,47314.57000000,47334.12000000,47300.00000000,47334.11000000,17.30735000,1640878499999,818871.97072310,606,11.52379000,545231.23160220,0
1640878500000,47334.11000000,47334.12000000,47316.16000000,47320.49000000,9.36621000,1640878559999,443271.71784620,408,3.52629000,166878.51681220,0
1640878560000,47320.49000000,47325.10000000,47305.26000000,47321.43000000,12.27085000,1640878619999,580633.83188290,407,6.30818000,298488.10742350,0
1640878620000,47321.44000000,47321.44000000,47307.41000000,47311.23000000,8.30846000,1640878679999,393106.92439820,482,2.88072000,136294.42257260,0
1640878680000,47311.22000000,47311.23000000,47291.78000000,47292.93000000,11.43438000,1640878739999,540819.44777550,506,3.52305000,166620.50883170,0
1640878740000,47292.94000000,47322.99000000,47292.93000000,47319.81000000,13.74483000,1640878799999,650305.08359470,471,5.55626000,262853.69545630,0
1640878800000,47319.81000000,47369.69000000,47301.66000000,47362.78000000,17.43743000,1640878859999,825354.60727820,516,12.28011000,581295.33290100,0
1640878860000,47362.78000000,47362.78000000,47312.44000000,47339.00000000,10.87939000,1640878919999,514995.86260160,542,4.64557000,219907.74570790,0
1640878920000,47339.00000000,47350.00000000,47328.31000000,47330.81000000,10.49559000,1640878979999,496878.11834350,552,5.62693000,266385.14024600,0
1640878980000,47330.82000000,47348.98000000,47304.07000000,47348.98000000,18.47895000,1640879039999,874435.59857010,604,8.98936000,425387.34975040,0
1640879040000,47340.81000000,47348.98000000,47316.72000000,47326.63000000,11.74760000,1640879099999,555991.37768000,410,4.09041000,193577.92955900,0
1640879100000,47326.63000000,47352.19000000,47326.63000000,47344.48000000,18.76346000,1640879159999,888243.50168090,581,9.47896000,448672.32041970,0
